Start time,End time,Transcript,English Translation
9.400,12.900,ฮัลโหลสวัสดีค่ะสวัสดีค่ะขออนุญาตเรียนสายคุณพรพรรณค่ะ,"Hello, hello, hello. I would like permission to study Khun Phonphan's line."
13.900,22.400,ติดต่อเรียนแจ้งตัวโครงการของไทยพาณิชย์สะดวกคุยสายได้สักครู่นะคะ,Please contact us to inform yourself of the SCB project. It's convenient to talk on the phone for a moment.
23.100,43.400,อ๋อเป็นโครงการด่านเก็บออมแล้วก็ดูแลของกลุ่มโรคร้ายไปด้วยแล้วก็มีทุนชีวิตด้วยค่ะก็คือซื้อ 1 ได้ถึง 3 คุ้มนะคะเป็นเงินเก็บเงินออมแต่ว่าอันนี้เจนแจ้งนี้ก่อนนะคะถ้าเป็นท้องตลาดนะคะถ้าเราซื้อเกี่ยวกับกลุ่มโรคร้ายแรงตรงนี้มันคือเบี้ยทิ้งแต่ของเราเป็นเงินเก็บเงินออมก็ดูแลครบวงจรเลยค่ะคุณลูกค้า,"Oh, it's a savings checkpoint project and it takes care of disease groups as well. It also has life funds. That is, buying 1 to 3 is worth it. It's money to save money for savings, but this one, Jane, let me know this first if it's in the market. Yes, if we buy about a serious disease group here, it's a disposable allowance, but ours is savings money, so we'll take care of it completely, customers."
45.100,47.500,ค่ะอธิบายไม่ได้ค่ะ,"Yes, I can't explain it."
48.200,107.800,"ได้ๆๆโอเคค่ะขอบพระคุณมากนะคะก่อนอื่นเดี๋ยวเจ้าหน้าที่ขอแนะนำตัวเองตามกฎหมายก่อนนะคะชื่อเสาวนีย์ภูมิย่าวาดค่ะเลขที่ใบอนุญาต 6603013069 ขออนุญาตบันทึกเสียงการสนทนาเพื่อนำไปปรับปรุงการให้บริการนะคะเมื่อกี้ที่หนูเรียนแจ้งก็คือตรงเนี้ยซื้อ 1 ได้ถึง 3 คุ้มมาดูคุ้มแรกกันก่อนนะคะคุณลูกค้ากลุ่มแรกอ่ะค่ะเขาจะดูแลในกลุ่มของโรคร้ายแรงก็คือ 16 15 โรคร้ายแรงอย่างเช่นมะเร็งหัวใจไตสมองปอดและพิการทุกคนภาพนะคะกรณีพบระยะรุกลามอ่ะค่ะรับเงินก้อนทันทีที่ 1 ล้านบาทอันนี้ขออนุญาตพูดถึงทุนประกันที่ 1 ล้านก่อนนะคะนะคะแต่ที่พิเศษไปมากกว่านั้นทางเรามีความห่วงใยเป็นพิเศษค่ะมีความคุ้มครองให้ตั้งแต่ระยะไม่ลุกตามนะคะกรณีตรวจพบตรวจเจอระยะไม่ลุกลามอ่ะค่ะเราจ่ายให้เข้ากระเป๋าคุณลูกค้าที่ 20050,000 บาทแล้วคุณลูกค้าหยุดชำระเบี้ยทันทีนะคะแต่บริษัท","Okay, OK. Thank you very much. First, the officer will introduce myself according to the law. My name is Saowanee Phumyawad, license number 6603013069. Please allow me to record the conversation in order to improve the service just now. What I've learned is that here, buy 1 get up to 3 worth it. Let's see the first value first, the first group of customers. They will take care of serious diseases, namely 16 and 15 serious diseases such as cancer of the heart, kidney, brain, lungs. and everyone is disabled. In the event that the invasive stage is found, we will immediately receive a lump sum of 1 million baht. For this, please allow me to talk about the 1 million baht insurance sum first. But what's more special than that is that we have a special concern. Yes, there is coverage from the non-aggressive stage. In case of detection, the non-aggressive stage is detected. We pay 20050,000 baht into the customer's pocket and the customer stops paying the premium immediately, but the company"
108.100,167.800,ดูแลต่อในส่วนที่เหลืออันนี้คือคุ้มแรกนะคะและคุ้มที่ 2 กรณีถ้าเราอยู่จบครบสัญญาเงินที่เราออมมาไม่ได้หายไปไหนนะคะสุขภาพร่างกายคุณลูกค้าแข็งแรงดีอยู่เราจ่ายให้คุณลูกค้า 1 ล้านบาทนะคะเพราะโครงการนี้ไม่ใช่เบี้ยทิ้งเบี้ย 0 ค่ะคุ้มที่ 3 คุ้มครองการเสียชีวิตทุกกรณีโดยไม่ต้องจ่ายอะไรเพิ่มแล้วนะคะเราเริ่มดูแลตั้งแต่วันแรกที่คุณลูกค้าเปิดการออมเข้ามานะคะด้วยทุนประกันที่ 1 ล้านบาทนะคะไม่ว่าจะเป็นการจากไปด้วยอุบัติเหตุนะคะเรื่องของสุขภาพโรคร้ายแรงการถูกฆาตกรรมรอบทำร้ายหรือแม้จะถูกลูกหลงนะคะเราดูแลที่ทุนประกัน 1 ล้านบาทนะคะข้อยกเว้นที่เราไม่ดูแลก็คือไม่ฆ่าตัวเองตายภายในปีแรกและไม่ถูกผู้รับผลประโยชน์ค่าตายนะคะทีนี้การดูแลของเราอ่ะค่ะนอกจากมีผลประโยชน์ตรงนี้แล้วยังมีเพิ่มเติมปัจจุบันนะคะคุณพรพรรณมีการยื่นลดหย่อนภาษีด้วยไหมคะมีเนาะอันนี้ของเราอ่ะค่ะโครงการนี้,"Continue to take care of the remaining part. This is the first value and the second value. In the case that if we stay until the end of the contract, the money we have saved has not gone anywhere. The customer's physical health is still good. We will pay the customer 1 million. baht because this project is not a 0 allowance. It is worth 3. It covers death in all cases without having to pay anything extra. We start taking care of it from the first day that the customer opens savings with the 1st insured sum. Million baht, whether it is death due to an accident, health issues, serious illness, murder, assault, or even being caught in the crossfire, we take care of it with an insurance sum of 1 million baht. The exceptions that we don't take care of are no. Killed myself within the first year and didn't receive the death benefit from the beneficiary. Now it's our care. In addition to the benefits here, there are additional ones. Currently, Khun Phonphan, is there a tax deduction as well? Well, this one is ours, this project."
168.100,227.700,"ของเราสามารถยื่นลดหย่อนภาษีได้เต็มจำนวนนะคะไม่ใช่ประกันสุขภาพจะยื่นได้แค่ 25,000 บาทแต่ตรงนี้เรายื่นได้ 100,000 บาทต่อปีได้เต็มจำนวนด้วยนะคะทีนี้การออมของเราอ่ะค่ะมีทุนประกันให้คุณพรพรรณเลือกค่ะตั้งแต่ 450,000 บาทนะคะแล้วก็มี 6700,000 บาทนะคะแล้วจนสูงสุดถึง 1 ล้านบาทนะคะอันนี้คุณพรพรรณค่ะที่หนูนำเสนอค่ะทุนประกันที่ 1 ล้านบาทนะคะการออมของเราจะอยู่ที่เดือนละ 3,510 บาทนะคะ 3,510 บาทนะคะก็คือเราจะ 1 ปีคุณลูกค้าจะมีเงินเก็บที่ 42,000 บาทนะคะคุณ 20 ปีคือจบโครงการนะคะคุณลูกค้าจะมีเงินเก็บอยู่ที่ 800,000 บาทนะคะแต่เวลาเราดูแลหรือคุณลูกค้ารับคุณลูกค้ารับที่ 1 ล้านบาทนะคะก็คือตรงเนี้ยมันไม่ใช่เบี้ยทิ้งเบี้ยสูงคุณลูกค้าไม่ได้ขาดทุน","Ours can be submitted for a full tax deduction. It's not health insurance. We can submit only 25,000 baht. But here we can submit 100,000 baht per year and get the full amount. Now, our savings, there is an insurance fund for Khun Phonphan. Choose from 450,000 baht and then 6700,000 baht up to a maximum of 1 million baht. This is Khun Phonphan that I'm presenting. The insurance fund is 1 million baht. Our savings will last. At 3,510 baht per month. 3,510 baht means that in 1 year the customer will have savings of 42,000 baht. 20 years is the end of the project. The customer will have savings of 800,000 baht. But the time We take care of the customer or the customer receives 1 million baht. That is, it is not a high premium, the customer does not suffer a loss."
228.000,275.000,"นะคะอย่างที่หนูเรียนแจ้งกรณีตรวจพบตรวจเจอในระยะเริ่มต้นอย่างยกตัวอย่างง่ายๆถามกับคุณพรพรรณนะคะเดือนละ 3,000 บาทนะคะเดือนที่ 8 หนูไปตรวจพบตรวจเจอเป็นมะเร็งระยะเริ่มต้นมะเร็งเต้านมนะคะหนูได้รับทันทีค่ะเป็นเงินเข้ากระเป๋าหนูที่ 200 250,000 บาทนะคะหนูก็จะเอาไว้เป็นค่าเดินทางค่ากินเพราะเราใช้สิทธิ์ประกันสังคมเป็นค่ารักษาพยาบาลอยู่แล้วแต่อาจจะมีตัวยาบางตัวยาที่เราไม่พอเนาะเราก็สามารถนำเงินตรงนี้ไปใช้จ่ายได้แล้วหนูไม่ต้องชำระเบี้ยต่อแล้วก็ทางบริษัท fwd ยังดูแลต่อในส่วนที่เหลือให้เราด้วยนะคะที่ 750,000 บาทนะคะที่เนี้ยตรงเนี้ยค่ะปัจจุบันนะคะคุณพรพรรณมีการตรวจร่างกายประจำปีทุกปีไหมคะ","As I have learned, in the case of a diagnosis in the early stages, for example, a simple example, ask Khun Phonphan, 3,000 baht per month. In the 8th month, I went to be diagnosed with early stage cancer, breast cancer. Yes, I received it right away. It's 200, 250,000 baht into my pocket. I will use it for travel expenses and food because we already use social security rights for medical expenses. But there may be some medicines that we If it's not enough, we can use this money to spend. You don't have to pay the premium and FWD Company will continue to take care of the remaining amount for us as well, at 750,000 baht. This is exactly the point. Yes, at present, Khun Phonphan, do you have an annual physical examination every year?"
279.400,283.900,สุขภาพยังแข็งแรงดีอยู่นะครับฟังจากน้ำเสียง,"His health is still good, as you can hear from his voice."
290.800,297.000,อ๋ออันนี้ปัจจุบันอ๋อทำเสียงเด็กมากเลยอ่ะค่ะคุณลูกค้าปัจจุบันคุณลูกค้าอายุ 43 แล้วหรอคะเนี่ย,"Oh, this one, right now, Oh, you make a very young voice, sir. The current customer is already 43 years old?"
