Start time,End time,thai_transcript,translation
10.3,48.0,สวัสดีค่ะ ขออนุญาติใส่กับเมลดาค่ะ ขอบพระคุณค่ะ ก่อนอื่นขออนุญาตแนะนำตัวอีกครั้งค่ะ บริษัท ไทยพาณิชย์โปรเทค ค่ะ ขออนุญาตบันทึกเสียงการสนทนาในการปรับปรุงการให้บริการในครั้งต่อไปนะคะ คุณพี่ค่ะ ในส่วนของที่ตัวนี้ค่ะ ในส่วนที่สถานที่ตั้งคอนโดค่ะ ตอนนี้คุณพี่จำได้ไหมคะ 81,"Hello, may I put your email? Thank you. First of all, let me introduce myself again. I am from Siam Commercial Protech Company. May I record the conversation to improve the service next time? For this part, regarding the location of the condo, do you remember it now, brother?"
109.1,168.6,"กลางคืนนักลงมานักบินนานๆ ได้เลยสามารถดูแลเขาเรียกว่าด้านหลังกรมธรรม์ได้เลย ที่จะส่งไปว่าตรงนี้ค่ะ จะในส่วนของน้ำมันออกมาได้ เค้าเรียกว่านำเงินออกมาได้เมื่อไหร่ หรือว่าออกมาได้เท่าไหร่แบบนี้ค่ะ หลังจากในมันจะไม่เต็มจำนวน ก็คือมันก็จะเหมือนประกันที่แบบว่าถ้าไม่ครบ 14 ปี เงินก็ถอนมาได้ 100% ตามกรมธรรม์ แต่ก็ไม่ได้เต็มจำนวนที่เราฝากถูกไหมคะ ค่ะแต่ว่าในส่วนของเค้าเรียกว่าเงินการันตีปีละ 10,000 ตัวนี้คือเราจ่ายแยกให้นะคะ ตัวนี้ไม่มีไม่มีอะไรหักอะไรไปหา อืมถ้าอย่างนั้นยังไม่สะดวกทำนะคะ อ๋อได้ ขอยกเลิกกรมธรรม์นะคะ อ๋อถ้าได้คะแนน 2 อย่างนี้ ถ้าหากคุณพี่ได้รับเป็น 2 ของหลักฐานการออมทรัพย์จริงนะคะ คนดีสามารถทดจะเข้ามาแจ้งได้เลย เพราะตอนนี้ค่ะเป็นการรักษาผลประโยชน์ของคุณพี่เองนะคะ เพราะว่าตอนนี้เรามอบการดูแลให้ไปก่อนเลย ถ้าหากเราไม่เกิน 10 วันทำการได้รับหลักฐานการออมแล้วตอนเนี้ยค่ะ คือสามารถโทรมาแจ้งเปลี่ยนแปลงได้เลย ได้รับเงิน 2 ค่าเบียร์คืนเต็มจำนวน ไม่มีอาการหักอะไรไปค่ะ เออถ้ายกเลิกทางนี้ได้ไหมคะ","In the middle of the night, the pilot can come down for a long time and take care of him. It's called behind the insurance policy. It can be sent to say that here, in terms of the oil that can come out. They call it bringing the money out whenever or how much it can come out like this. After that, it"
169.2,193.2,ถ้าในส่วนของตัวเนี้ยค่ะ จะเป็นในส่วนของข้อมูลลงระบบเรียบร้อยแล้วค่ะคุณพี่ แต่ว่าอย่างที่แจ้งค่ะ ถ้าหากสุดท้ายแล้วคุณพี่ต้องการที่จะเปลี่ยนแปลงจริงๆ คือจะไม่มีการหักอะไรไปอยู่แล้ว แต่ตอนนี้เหมือนกันให้การดูแลไปก่อน เพราะตอนนี้เรื่องในส่วนของเค้าเรียกว่าการทุนคุ้มครองต่างๆ เราก็ให้การดูแลไปก่อนแล้วค่ะ ยกเลิกภายใน 10 วัน หรอคะ ค่ะถ้าหากได้รับหลักฐานการออมตัวนี้ได้สามารถทดแทนได้เลยค่ะ,"For this part, the information has already been entered into the system, sir. But as mentioned, if in the end you really want to change, there will be no deductions anyway. But for now, we will provide care first, because currently, in terms of what they call various protection funds, we will provide care first. Can it be canceled within 10 days? Yes, if this proof of saving is received, it can be replaced immediately."
194.4,212.7,สอบถามข้อมูลเพิ่มเติมนิดนึงค่ะ คุณพี่ขาว่าในส่วนของตัวนี้ที่คุณพี่เคยแถลงว่าเป็นข้อมูลเป็นต่อมน้ำเหลือง ตัวนี้ตรวจพบเมื่อไหร่คะ คุณพี่ตรวจพบประเมินกลางปีที่แล้วอ่ะค่ะ ผลออกแล้วว่าปกติค่ะ ตอนนั้นมีอาการยังไงคะคุณพี่ขา,"I would like to ask for a little more information. You said that this part that you had previously announced was lymph node information. When was this detected? You found it in the middle of last year, right? The results showed that it was normal. What were your symptoms at that time?"
214.1,221.8,คือแค่คำเอง แล้วก็จะเฉยๆ แต่ว่ามีอาการอะไร รักษาที่โรงพยาบาลไหนคะ,"It's just words and it would be indifferent, but what symptoms do you have and which hospital are you being treated at?"
222.9,223.8,ปทุมธานีค่ะ,Pathum Thani
224.1,282.9,ค่ะ และมีการนอนโรงพยาบาลไหมคะ ไม่มีค่ะ ตอนนี้ไม่ได้มีการนัดพบต่อแล้วเนาะ สำหรับคุณหมอ ไม่มีอะไรนัดพบแล้วนะคะ คือต่อมน้ำเหลืองไม่มีแล้วค่ะ แต่ว่าตอนที่ไปรักษาตรวจเรื่องต่อมน้ำเหลือง มันเกิดซีสต์ที่ต่อมน้ำลายด้วย ก็เลยตอนนี้ก็คือดูเรื่องต่อมน้ำลายต่อ แต่ต่อมน้ำเหลืองก็คือจบไปแล้วค่ะ อ๋อ ตอนน้ำเดือดตรงนี้จบแล้วเนาะ ตอนนี้ยังมีการโฟลว์ติดต่อรับต่อนะคะ ขออนุญาตแจ้งเพิ่มเติมนิดนึงเนาะว่า ในส่วนของข้อมูล ในส่วนของการขอความยินยอมค่ะ เพื่อเปิดความคุ้มครองตัวนี้ ขออนุญาตเพิ่มเติมอีกนิดเนาะว่าตัวนี้ค่ะ คุณลูกค้าค่ะรับรองว่าข้อมูลส่วนบุคคลของบุคคลอื่นที่ลูกค้าให้แก่ FB นั้นถูกต้องสมบูรณ์ จะได้รับความนิยมหรือสามารถใส่ฐานทางกฎหมายในการใช้ แล้วก็คือข้อมูลรวมถึงแจ้งให้บุคคลอื่นรับทราบนโยบายข้อมูลส่วนบุคคลของ FB เวลารับรองว่า FB แล้วเขาก็พอสามารถเก็บรวบรวม ใช้และเปิดเผยข้อมูลตามวัตถุประสงค์ในนโยบายของ MD แล้ว คปภ ที่เกี่ยวข้อง ตอนนี้คุณลูกค้ายินยอมนะคะ,"Yes, and was there any hospital stay? No, there are no more scheduled appointments now, right? For the doctor, there are no more appointments. The lymph nodes are gone now. But when I went for treatment to check the lymph nodes, a cyst also developed in the salivary gland. So now it's about continuing to look at the salivary gland. But the lymph node issue is already finished. Oh, the"
284.1,344.0,ในส่วนของกรณีต้องการปรับลดเพิ่มค่าเบี้ยหรือว่าทุนประกันต่างๆ ค่ะ สามารถโทรมาสอบถามหรือติดต่อได้ที่แจ้งด้วยตัวเองได้ที่ fwd หมายเลข 1351 เนื่องจากทางบริษัทอาจจะต้องมีในส่วนการคำนวณค่าเบี้ยหรือการให้ลูกค้า ค่ะ ส่งอายเอกสารเพิ่มเติมนะคะ แล้วกรณีการหยุดชำระค่าเบี้ย ลูกค้าสามารถหยุดชำระค่าเบี้ยได้ ทางนี้ขึ้นอยู่กับแบบประกันและข้อมูลเงินสดที่ลูกค้ามีกรมธรรม์ กรณีกรมธรรม์มูลค่าเงินสดเพียงพอ จะเป็นการกู้อัตโนมัติเพื่อเป็นการชำระค่าเบี้ยประกันโดยผู้ประกันไม่ต้องรับความคุ้มครองของสัญญาหลักจนกว่ามูลค่าเงินสดจะหมดลง นะคะ ภายหลังถ้าลูกค้าจะปรารถที่จะต่อกรมธรรม์ สามารถติดต่อบริษัทประกันเพื่อขอต่ออายุภายในระยะเวลา 5 ปีตั้งแต่กรมธรรม์หมดอายุ ลูกค้าจะต้องชำระค่าเบี้ยที่ค้างชำระทั้งหมดรวมถึงค่าเบี้ยปัจจุบันพร้อมดอกเบี้ยตามอัตราดอกเบี้ยที่บริษัทกำหนด ตรงนี้เงื่อนไขของการต่ออายุขึ้นอยู่กับการพิจารณาของบริษัทนะคะ และหากกรณีลูกค้าต้องการนำเงินออกในปีที่ 14 หรือต้องการออกก่อนครบสัญญา 24 ปี ค่ะ จะเข้าเงื่อนไขการเวนคืนกรมธรรม์หรือการยกเลิกกรมธรรม์โดยตรงเลยนะคะ,
344.0,403.8,"เมืองร้อยเปอร์เซ็นต์ของมูลค่าเงินสดนะปีนั้นๆ ของกรมธรรม์ด้วยนะคะ และส่วนใหญ่จะสิ้นสุดลงทันทีค่ะ เดี๋ยวตอนนี้รบกวนคุณพี่ตอบคำว่าทรัพย์ให้หนู 1 ครั้งนะคะ รับทราบค่ะลูกค้า ในส่วนของการสมัครเข้าร่วมประกันชีวิตแบบสะสมทรัพย์ชื่อออมเพิ่มสุข นะคะ 21 จะ 14 โดยมีการเรียกเก็บค่าเบี้ยประกันชีวิตผ่านบัตรเครดิตของลูกค้านะคะ แต่รายเดือนเดือนละ 8,438 บาท เป็นระยะเวลา 14 ปี สัญญาคุ้มครอง 24 ปี ซึ่งตรงนี้อาจจะไม่ได้เหมือนการฝากเงินเข้าธนาคารปกตินะคะ ส่วนเอกสารที่จัดส่งไปเป็นกรมธรรม์ชีวิตประจำฉบับจริงค่ะ ไม่ใช่สมุดบัญชีออมทรัพย์ หรือผลประโยชน์ที่จะได้รับสิ้นปีประมาณ 24 รับเงินครบสัญญา 1 ล้าน 2 แสนบาท โดยลูกค้าจะได้รับค่าเบี้ยไปลดหย่อนภาษีตามที่จ่ายจริง และสามารถลดลดหย่อนได้ตามผ่านภาษีของลูกค้าเท่านั้น เลยจะได้รับสูงสุดไม่เกิน 100,000 บาท ให้อยู่ตรงนี้รบกวนคุณพี่ก็ตอบตกลง 1 ครั้งนะคะ ขอบคุณค่ะคุณแม่รดาค่ะ ตกลงยินยอมให้บริษัท F U D ค่ะ เรียกเก็บค่าเบี้ยประกันภัยของลูกค้าจะรายเดือนนะคะ เดือนละ 8,438 บาท เป็นเวลา 14 ปี 82 ของบัตรเครดิตของลูกค้าค่ะ วีซ่า",
404.0,418.5,4773 สักครู่นะ 4773 7601 นะคะ 077722 นะคะ ขอบพระคุณค่ะ ข้อมูลทั้งหมดไปที่เรียบร้อยแล้ว ต้องขอขอบพระคุณมากๆ นะคะ,"4773 Just a moment 4773 7601, okay? 077722, okay. Thank you very much. All the information has been provided. I have to thank you very much."
