Start time,End time,Transcript,English Translation
10.300,48.000,สวัสดีค่ะขออนุญาติใส่กับเมลดาค่ะขอบพระคุณค่ะก่อนอื่นขออนุญาตแนะนำตัวอีกครั้งค่ะบริษัทไทยพาณิชย์โปรเทคค่ะขออนุญาตบันทึกเสียงการสนทนาในการปรับปรุงการให้บริการในครั้งต่อไปนะคะคุณพี่ค่ะในส่วนของที่ตัวนี้ค่ะในส่วนที่สถานที่ตั้งคอนโดค่ะตอนนี้คุณพี่จำได้ไหมคะ 81,"Hello, please allow me to put it with Melda. Thank you. First of all, please allow me to introduce myself again. Siam Commercial Bank Protech Company. I would like to allow you to record the conversation in order to improve the service next time, sir. Yes, in this part, in the part where the condo is located, do you remember now? 81"
109.100,168.600,"กลางคืนนักลงมานักบินนานๆได้เลยสามารถดูแลเขาเรียกว่าด้านหลังกรมธรรม์ได้เลยที่จะส่งไปว่าตรงนี้ค่ะจะในส่วนของน้ำมันออกมาได้เค้าเรียกว่านำเงินออกมาได้เมื่อไหร่หรือว่าออกมาได้เท่าไหร่แบบนี้ค่ะหลังจากในมันจะไม่เต็มจำนวนก็คือมันก็จะเหมือนประกันที่แบบว่าถ้าไม่ครบ 14 ปีเงินก็ถอนมาได้ 100% ตามกรมธรรม์แต่ก็ไม่ได้เต็มจำนวนที่เราฝากถูกไหมคะค่ะแต่ว่าในส่วนของเค้าเรียกว่าเงินการันตีปีละ 10,000 ตัวนี้คือเราจ่ายแยกให้นะคะตัวนี้ไม่มีไม่มีอะไรหักอะไรไปหาอืมถ้าอย่างนั้นยังไม่สะดวกทำนะคะอ๋อได้ขอยกเลิกกรมธรรม์นะคะอ๋อถ้าได้คะแนน 2 อย่างนี้ถ้าหากคุณพี่ได้รับเป็น 2 ของหลักฐานการออมทรัพย์จริงนะคะคนดีสามารถทดจะเข้ามาแจ้งได้เลยเพราะตอนนี้ค่ะเป็นการรักษาผลประโยชน์ของคุณพี่เองนะคะเพราะว่าตอนนี้เรามอบการดูแลให้ไปก่อนเลยถ้าหากเราไม่เกิน 10 วันทำการได้รับหลักฐานการออมแล้วตอนเนี้ยค่ะคือสามารถโทรมาแจ้งเปลี่ยนแปลงได้เลยได้รับเงิน 2 ค่าเบียร์คืนเต็มจำนวนไม่มีอาการหักอะไรไปค่ะเออถ้ายกเลิกทางนี้ได้ไหมคะ","At night the pilot comes down for a long time. He can take care of him and call it the back of the insurance policy. He can send it to say that right here, the oil part can come out. They call it when the money can come out or if it can come out. How much is this? After the deposit, the full amount will not be paid, meaning it will be like insurance that if the 14 year period is not complete, the money can be withdrawn 100% according to the policy, but it will not be the full amount that we deposited, is that correct? But for their part, it's called a guaranteed sum of 10,000 a year. This means we pay separately. This one has nothing to deduct. Hmm. If that's the case, it's still not convenient. Oh, I'd like to cancel the policy. Oh, if you get 2 points like this, if you actually receive 2 of the evidence of savings, a good person can come and inform you, because right now, it's to protect your own interests, because right now We'll take care of you first. If it takes no more than 10 business days to receive proof of savings, then you can call to notify us of the change. You'll receive a full refund of the 2 baht for the beer. There's no sign of anything being deducted. Can I cancel this way?"
169.200,193.200,ถ้าในส่วนของตัวเนี้ยค่ะจะเป็นในส่วนของข้อมูลลงระบบเรียบร้อยแล้วค่ะคุณพี่แต่ว่าอย่างที่แจ้งค่ะถ้าหากสุดท้ายแล้วคุณพี่ต้องการที่จะเปลี่ยนแปลงจริงๆคือจะไม่มีการหักอะไรไปอยู่แล้วแต่ตอนนี้เหมือนกันให้การดูแลไปก่อนเพราะตอนนี้เรื่องในส่วนของเค้าเรียกว่าการทุนคุ้มครองต่างๆเราก็ให้การดูแลไปก่อนแล้วค่ะยกเลิกภายใน 10 วันหรอคะค่ะถ้าหากได้รับหลักฐานการออมตัวนี้ได้สามารถทดแทนได้เลยค่ะ,"As for this part, it will be the part of the data that has already been entered into the system, but as I said, if in the end you really want to change, there won't be anything deducted now. Likewise, let's take care of it first because right now, their part is called various protection funds. We're taking care of it first. Can we cancel within 10 days? If we get evidence of this savings, we can replace it. Right away."
194.400,212.700,สอบถามข้อมูลเพิ่มเติมนิดนึงค่ะคุณพี่ขาว่าในส่วนของตัวนี้ที่คุณพี่เคยแถลงว่าเป็นข้อมูลเป็นต่อมน้ำเหลืองตัวนี้ตรวจพบเมื่อไหร่คะคุณพี่ตรวจพบประเมินกลางปีที่แล้วอ่ะค่ะผลออกแล้วว่าปกติค่ะตอนนั้นมีอาการยังไงคะคุณพี่ขา,"I'd like to ask for a little more information, sir. As for this one, which you previously announced as information about lymph nodes, when was this one detected? You were diagnosed and evaluated in the middle of last year. The results came out as being normal. Yes, what were your symptoms at that time?"
214.100,221.800,คือแค่คำเองแล้วก็จะเฉยๆแต่ว่ามีอาการอะไรรักษาที่โรงพยาบาลไหนคะ,"That is, it's just the word itself and it'll be neutral, but what kind of symptoms do you have? At which hospital are you treated?"
222.900,223.800,ปทุมธานีค่ะ,Pathum Thani
224.100,282.900,ค่ะและมีการนอนโรงพยาบาลไหมคะไม่มีค่ะตอนนี้ไม่ได้มีการนัดพบต่อแล้วเนาะสำหรับคุณแพทย์ไม่มีอะไรนัดพบแล้วนะคะคือต่อมน้ำเหลืองไม่มีแล้วค่ะแต่ว่าตอนที่ไปรักษาตรวจเรื่องต่อมน้ำเหลืองมันเกิดซีสต์ที่ต่อมน้ำลายด้วยก็เลยตอนนี้ก็คือดูเรื่องต่อมน้ำลายต่อแต่ต่อมน้ำเหลืองก็คือจบไปแล้วค่ะอ๋อตอนน้ำเดือดตรงนี้จบแล้วเนาะตอนนี้ยังมีการโฟลว์ติดต่อรับต่อนะคะขออนุญาตแจ้งเพิ่มเติมนิดนึงเนาะว่าในส่วนของข้อมูลในส่วนของการขอความยินยอมค่ะเพื่อเปิดความคุ้มครองตัวนี้ขออนุญาตเพิ่มเติมอีกนิดเนาะว่าตัวนี้ค่ะคุณลูกค้าค่ะรับรองว่าข้อมูลส่วนบุคคลของบุคคลอื่นที่ลูกค้าให้แกะ FB นั้นถูกต้องสมบูรณ์จะได้รับความนิยมหรือสามารถใส่ฐานทางกฎหมายในการใช้แล้วก็คือข้อมูลรวมถึงแจ้งให้บุคคลอื่นรับทราบนโยบายข้อมูลส่วนบุคคลของ fv เวลารับรองว่า FB แล้วเขาก็พอสามารถเก็บรวบรวมใช้และเปิดเผยข้อมูลตามวัตถุประสงค์ในนโยบายของ MD แล้วคปภที่เกี่ยวข้องตอนนี้คุณลูกค้ายินยอมนะคะ,"Yes, and is there a hospital stay? No. Right now, there is no further appointment. For the doctor, there is no appointment to make an appointment. That is, there are no lymph nodes, but when I went for treatment to check on the lymph nodes, it happened. Cysts on the salivary glands as well, so right now we're continuing to look at the salivary glands, but the lymph nodes are already over. Oh, the boiling water episode here is over. Right now there's still a flow to contact and continue, please. Please allow me to inform you a little more about the information in the consent request section to open this protection. Please allow me to add a little more about this. Customers, I guarantee that the personal information of other people that the customer has given me to unpack. FB is completely correct, will be popular or can have a legal basis for use, then it is information including informing other people of fv's personal information policy when ensuring that FB is able to collect, use and Reveal information according to the objectives in MD's policy and the relevant OIC. Now the customer has consented."
284.100,344.000,ในส่วนของกรณีต้องการปรับลดเพิ่มค่าเบี้ยหรือว่าทุนประกันต่างๆค่ะสามารถโทรมาสอบถามหรือติดต่อได้ที่แจ้งด้วยตัวเองได้ที่ fwd หมายเลข 1351 เนื่องจากทางบริษัทอาจจะต้องมีในส่วนการคำนวณค่าเบี้ยหรือการให้ลูกค้าค่ะส่งอากายเอกเอกสารเพิ่มเติมนะคะแล้วกรณีการหยุดชำระค่าเบี้ยลูกค้าสามารถหยุดชำระค่าเบี้ยได้ทางนี้ขึ้นอยู่กับแบบประกันและข้อมูลเงินสดที่ลูกค้ามีกรมธรรม์กรณีกรมธรรม์มูลค่าเงินสดเพียงพอจะเป็นการกู้อัตโนมัติเพื่อเป็นการชำระค่าเบี้ยประกันโดยผู้ประกันไม่ต้องรับความคุ้มครองของสัญญาหลักจนกว่ามูลค่าเงินสดจะหมดลงนะคะภายหลังถ้าลูกค้าจะประสบที่จะตอกรองประธานสามารถติดต่อบริษัทประกันเพื่อขอต่ออายุภายในระยะเวลา 5 ปีตั้งแต่กรมธรรม์หรือลูกค้าจะต้องชำระค่าเบี้ยที่ฝากของทั้งหมดรวมถึงว่าปัจจุบันพร้อมดอกเบี้ยตามอัตราดอกเบี้ยที่บริษัทกำหนดตรงนี้เงื่อนไขของการต่ออายุขึ้นอยู่กับการพิจารณาของบริษัทนะคะและหากกรณีลูกค้าค้าต้องการนำเงินออกในปีที่ 14 หรือต้องการออกก่อนครบสัญญา 24 ค่ะจะเข้าเงื่อนไขการเวียนคืนกรมธรรม์หรือการยกเลิกกรมธรรม์โดยตรงเนี้ยค่ะจะได้,"In the case of wanting to reduce or increase premiums or various insurance sums, you can call to inquire or contact us at fwd number 1351 because the company may need to be involved in calculating premiums or giving to customers. Yes, send additional documents to the doctor. In the case of stopping paying premiums, the customer can stop paying premiums this way, depending on the insurance type and cash information that the customer has. In the case of a policy with sufficient cash value, it will be an automatic loan for Paying the premium, the insurer does not have to accept the coverage of the main contract until the cash value runs out. Later, if the customer will encounter a loss, the vice president can contact the insurance company to request renewal within 5 years from the policy or the customer will All deposit premiums must be paid including the current interest as per the interest rate set by the company here. Conditions for renewal depend on the consideration of the company and if the customer wishes to withdraw money in the year. 14 or want to exit before the end of the contract 24 will enter the conditions for policy return or policy cancellation directly."
344.000,403.800,"เมืองร้อยเปอร์เซ็นต์ของมูลค่าเงินสดนะปีนั้นๆของกรมธรรม์ด้วยนะคะและส่วนใหญ่จะสิ้นสุดลงทันทีค่ะเดี๋ยวตอนนี้รบกวนคุณพี่ตอบคำว่าทรัพย์ให้หนู 1 ครั้งนะคะรับทราบค่ะลูกค้าในส่วนของการสมัครเข้าร่วมประกันชีวิตแบบสะสมทรัพย์ชื่อออมเพิ่มสุขนะคะ 21 จะ 14 โดยมีการเรียกเก็บค่าเบี้ยประกันชีวิตผ่านบัตรเครดิตของลูกค้านะคะแต่รายเดือนเดือนละ 8,438 บาทเป็นระยะเวลา 14 ปีสัญญาคุ้มครอง 24 ปีซึ่งตรงนี้อาจจะไม่ได้เหมือนการฝากเงินเข้าธนาคารปกตินะคะส่วนเอกสารที่จัดส่งไปเป็นกรมธรรม์ชีวิตประจำฉบับจริงค่ะไม่ใช่สมุดบัญชีออมทรัพย์หรือผลประโยชน์ที่จะได้รับสิ้นปีประมาณ 24 รับเงินครบสัญญา 1 ล้าน 2 แสนบาทโดยลูกค้าจะได้รับค่าเบี้ยไปลดหย่อนภาษีตามที่จ่ายจริงและสามารถลดลดหย่อนได้ตามผ่านภาษีของลูกค้าเท่านั้นเลยจะได้รับสูงสุดไม่เกิน 100,000 บาทให้อยู่ตรงนี้รบกวนคุณพี่ก็ตอบตกลง 1 ครั้งนะคะขอบคุณค่ะคุณแม่รดาค่ะตกลงยินยอมให้บริษัท F U D ค่ะเรียกเก็บค่าเบี้ยประกันภัยของลูกค้าจะรายเดือนนะคะเดือนละ 8,438 บาทเป็นเวลา 14 ปี 82 ของบัตรเครดิตของลูกค้าค่ะวีซ่า","One hundred percent of the cash value for that year of the policy as well, and most of them will end immediately. I would like to ask you to answer the word wealth for me once right now. I understand, customers, in the part of applying to join. Savings life insurance, named Aom Permsuk, 21 to 14, with life insurance premiums charged through the customer's credit card, but monthly at 8,438 baht per month for a period of 14 years, a contract of 24 years of coverage, which here may not be It's like depositing money into a normal bank. As for the documents sent, it's a real life insurance policy, not a savings account book or benefits that will be received at the end of the year around 24, receiving the full contract amount of 1 million, 200,000 baht by the customer. You will receive tax deductible premiums as actually paid and can only be deducted according to the customer's taxes, so you will receive a maximum of not more than 100,000 baht. If you stay here and disturb me, I agree 1 time. Thank you, Mom. Rada, I agree to allow the company F U D to charge the customer's insurance premium monthly, 8,438 baht per month for 14 years, 82 on the customer's credit card, Visa."
404.000,418.500, 4773 สักครู่นะ 4773 7601 นะคะ 077722 นะคะอ่าขอบพระคุณค้าข้อมูลทั้งหมดไปที่เรียบร้อยแล้วต้องขอขอบพระคุณมากๆนะคะอืมค่ะ,4773 Just a moment. 4773 7601. 077722. Thank you. All the information has already been received. Thank you very much.
