Start time,End time,thai_transcript,translation
11.1,36.7,ฮัลโหล สวัสดีค่ะ สวัสดีค่ะพี่วิภาวีนะคะ ค่ะ เดี๋ยวหนูใส่ตรงนี้ไปให้พี่นะคะ โอเค เดี๋ยวพี่ เดี๋ยวสักครู่นะ เดี๋ยวขออนุญาตเปิดระบบนิดนึงนะ อันนี้พี่ไปเอาบัตรประชาชนมาแล้วเนาะ ใช่ไหมคะ ค่า เดี๋ยวสักครู่นะ,"Hello. Hello, P'Vipavee. Yes, I will put it here for you. Okay, wait a moment. Let me open the system for a bit. You brought your ID card already, right? Okay, just a moment."
37.3,97.0,สักครู่นะคะคุณพี่ เดี๋ยวหนูขออนุญาตเปิดข้อมูลกับโอเค ถ้าแลกเป็นคุณภัทรมนนะคะ อันนี้เป็นเป็นรัตนาพันธ์ถาม 1 2 0 1 3 1 2 0 1 ค่ะ 00478 00478 ค่ะ 828 ค่ะ 3 1 2 0 1 0 0 4 7 8 8 2 8 นะคะ แล้วก็ตรงนี้ท่าที่ 2 นะคะ จะเป็นคุณอมรรัตน์อ่อนตัวนะคะ คุณอมรรัตน์นะคะ 35099 35099 ค่ะ 0 0 5 6 0 0 0 5 6 ค่ะ 914914 โอเค หนูขออนุญาตทวนนะคะ 35099 00056914 นะคะค่ะ โอเคค่ะ แล้วก็ตรงนี้นะคะ,"Just a moment, please, ma'am. Let me open the information with OK. If exchanged, it will be Khun Pattaramon. This is Rattanaphan asking. 1 2 0 1 3 1 2 0 1. 00478 00478. 828. 3 1 2 0 1 0 0 4 7 8 8 2 8. And here, the second one will be Khun Amonrat On-tua. Khun Amonrat, 35099 35099. 0 0 5 6 0 0 0 5 6. 914914. Okay, let me repeat. 35099 00056914. Okay. And here."
97.2,118.5,หนูขออนุญาตนะคะ ก็คือแอดชื่อคุณพี่วิภาวีค่ะ เข้าไปในระบบของ Application ไทยพาณิชย์นะคะ คุณพี่จะเห็นชื่อคุณพี่ค่ะ นามสกุล เลขกรมธรรม์นะคะ รวมไปถึงบริษัท FWD นะคะ ที่เข้ามาดูแลตัวผลประโยชน์ตรงนี้ให้กับคุณพี่นะคะ ค่ะ เดี๋ยวคุณพี่นะเข้าไปที่แอปพลิเคชันของธนาคารไทยพาณิชย์นะคะ,"I would like to ask for your permission to add your name, Khun Phi Wipawee, into the SCB Application system. You will see your name, surname, and policy number, including FWD company that comes to take care of the benefits for you. Yes, please go to the application of Siam Commercial Bank."
119.3,137.8,อ่า เดี๋ยวหนู จะบอก ขั้นตอน ช้า ๆ ไป พร้อม ๆ กันนะ พี่ นะนะคะ ค่ะ พอคุณพี่ เข้าไปที่ แอปพลิเคชั่น ไทยพาณิชย์ แล้ว ใช่ไหมคะ พี่ จะเห็น คำว่า ธุรกรรม ของฉัน ตัวสี ม่วง ๆ เห็นไหมคะ เดี๋ยว แป๊บนึงนะคะ ได้ค่ะ,"Okay, I will tell you the steps slowly together, okay? When you go into the Siam Commercial Bank application, right? You will see the words ""My Transactions"" in purple, do you see it? Just a moment, okay?"
140.7,143.3,พี่กดเข้าไปที่คำว่า ธุรกรรมของฉัน นะ,"Click on the words ""My Transactions"", okay?"
145.6,152.1,คะ ของพี่กดเข้าไปแล้วปุ๊บนะคะ คนพิเศษบรรทัดที่ 2 จะอยู่ขวามือ จะมีคำว่าจ่ายบิล เห็นไหมคะ,"Yes, after you click in, the special person line 2 will be on the right hand side, you will see the word ""pay bill"", do you see it?"
153.0,156.5,ว่าจ่ายบิลนะคะ,"Here's the bill, please."
166.4,186.0,ค้นหารหัสผู้ให้บริการอ่านะคะ อ่า เดี๋ยวคนที่ใส่หมายเลข 021 6 เข้าไปนะคะ เดี๋ยวมันจะขึ้น FWD ประกันชีวิตค่ะ ค่ะ เสร็จแล้วก็ที่เลื่อนตรงขวามือ มันจะอยู่ประมาณกลางๆ ท้ายๆ นะคะ มันจะเขียนว่า FWD ประกันชีวิต ตัวสีส้มๆ คนที่เห็นไหม,"Search for the service provider code, okay? Um, for those who entered the number 021 6, okay, it will show up as FWD Life Insurance, okay? Okay, after that, on the scrollbar on the right hand side, it will be around the middle or towards the end, okay? It will say FWD Life Insurance in orange text. Does anyone see it?"
186.6,195.2,สำคัญของคนที่นะ เดี๋ยวพี่สายตามหนูนะ 3270 ค่ะ 3270 72412,"It's important, wait for me to follow up with you, okay? 3270, 3270, 72412."
196.2,201.3,7 2 4 1 2 บรรทัดที่ 2 พี่ใส่เลข 0 ตัวเดียวค่ะ,"7 2 4 1 2 On line 2, you only put the single digit 0."
204.0,211.7,แล้วก็ยอดออมนะคะ 1215 ค่ะ,And the savings balance is 1215.
213.7,234.7,1 2 1 5 นะคะ พอคุณพี่กดเรียบร้อยแล้ว พี่กดตรวจสอบข้อมูลให้หนูครั้งนึง และพี่ลองทวนนะคะ เลขกรมธรรม์ให้หนูหน่อย ตรงกันไหม 3270 3270 ค่ะ โอเคค่ะ ถูกต้องตรงกัน ที่กดยืนยันให้หนูครั้งนึงนะคะ ยืนยัน,"1 2 1 5, okay? Once you have pressed it, please double check the information for me one more time. And please repeat the policy number for me, is it correct? 3270 3270, right? Okay, that's correct. Please press confirm for me one more time. Confirm."
236.9,253.9,ค่ะ ยืนยันแล้วค่ะ โอเคอันนี้มันขึ้นข้างบนว่าจ่ายบิลสำเร็จเรียบร้อยแล้วใช่ไหมคะ ขออนุญาตเก็บข้อมูลไปออกกรมธรรม์ให้ค่ะ พี่ใช้เป็นลายไอเป็นหมายเลขโทรศัพท์ครับ LINE ID ค่ะ,"Yes, I have confirmed. Okay, at the top it says the bill payment was successful, right? Please allow me to collect the information to issue the insurance policy. You can use the line ID as the phone number."
256.7,272.2,แล้วก็เลข 1 ค่ะ เจอแล้วค่ะ ก่อนพี่ใส่เสื้อสีฟ้าๆ ใช่ไหมคะ,"And number 1, right? I found it already. Earlier, you were wearing a blue shirt, right?"
