Start time,End time,Transcript,English Translation
7.600,10.800,เรียบร้อยแล้วนะ,It's ready.
12.600,13.300,เดี๋ยวนะ,Wait a minute.
15.700,17.200,สวัสดี,hello
29.400,32.000,วันสุดท้ายพรุ่งนี้ถึงจะได้หยุด,The last day is tomorrow.
38.600,45.000,ของผมของผมผมพึ่งจะกินมามาถึงบ้านเมื่อวานนี้หยุดกี่วันเนี่ย,"Mine, I just ate it and it arrived at my house yesterday. How many days off?"
46.200,47.200,ผมหยุด 10 วัน,I'm off for 10 days.
60.600,63.400,ผมไปอยู่ภูเก็ตมาได้ 14 ปีแล้ว,I have been living in Phuket for 14 years.
72.500,75.100,ภูเก็ตตอนนี้เป็นไงบ้างดีไหมเศรษฐกิจ,How is Phuket right now? Is the economy good?
76.200,86.600,ก็ภูเก็ตตอนนี้มันก็นักท่องเที่ยวเยอะอยู่มันก็เริ่มกลับมาแล้วเนาะส่วนมากก็จะมีแต่พวกรัสเซียกับฝรั่งเศส,"Well, Phuket now has a lot of tourists and they're starting to come back. Most of them are Russians and French."
89.900,91.500,เยอะ,a lot
97.900,99.300,มันบอกว่าเชื่อมต่อช้า,It says connection is slow.
101.300,102.600,อันนี้ใช้อีกเครื่องนึงแล้วหรือยัง,Have you used another device yet?
103.700,113.900,ไม่มีเน็ต,No internet
128.300,130.000,เข้าได้ยังหมุนอยู่,You can enter and it's still spinning.
142.700,163.600,มันบอกว่าไม่เชื่อมต่อถ้าอย่างนั้นเดี๋ยวนะเราใช้ LINE เราเพิ่มไลน์ก่อนได้ไหมเดี๋ยวพี่ส่งขั้นตอนการจ่ายบิลให้ใน LINE แล้วพอเราส่งพอเราจ่ายบิลเสร็จเราส่งสลิปกลับมาให้พี่แล้วพี่จะโทรไปสรุปความคุ้มครองให้อันนี้อ่ะถ้าอย่างนั้นเราเพิ่มเพิ่มลายของทางบริษัทนิดนึง,"It says it's not connected. Then wait a minute. We use LINE. Can we add LINE first? I'll send you the steps to pay the bill in LINE. Then when we send it, when we're done paying the bill, we send the slip back to you and then I will. Call to summarize the coverage for this one. If so, we'll add a little more of the company's designs."
171.800,186.500,ครับผมเราเข้าไปที่ LINE นะแล้วเพิ่มเพื่อนเบอร์มือถือเพิ่มที่ช่องเบอร์มือถือติ๊กเบอร์มือถืออ่ะ 080-6090327,"Yes, we go to LINE and add friends with mobile phone numbers. In the mobile number field, tick the mobile number 080-6090327."
197.000,204.600,09 0327,09 0327
217.700,219.700,เราเข้าไปเพื่อเพิ่มที่ LINE เนอะ,I went in to add it to LINE.
222.700,240.600,คุยแล้วมันคุยโทรศัพท์แล้วมันเพิ่มเพื่อนไม่ได้อ่ะพี่อ๋อเน็ตไม่มีหรอโอเคเราจำเบอร์ไว้นะว่าจะเป็น 6 เอ่อ 60806090327 นะถ้างั้นเดี๋ยวผมเพิ่มเพื่อนก่อน,"I'm talking on the phone and I can't add friends. P'O, don't you have internet? Okay, let's remember the number. It's going to be 6, uh, 60806090327. If that's the case, I'll add friends first."
