Start time,End time,Transcript,English Translation
54.400,57.800,ฮัลโหลค่ะสวัสดีค่ะขออนุญาตสายคุณนฤมลค่ะ,"Hello, hello. May I please call you Narumon?"
59.200,67.400,ค่ะบริษัทในเครือธนาคารไทยพาณิชย์ค่ะมาเรียนแจ้งแคมเปญพิเศษให้รบกวนเวลาสักครู่คุณสายได้นะคะ,"Yes, it's a subsidiary of Siam Commercial Bank. I'm here to inform you of a special campaign. Please take a moment. You can be late."
71.200,71.900,ฮัลโหลค่ะ,Hello
73.400,107.600,ได้ค่ะขอบพระคุณค่ะขออนุญาตแนะนำตัวนิดนึงนะคะเจ้าหน้าที่ชื่อจิรดาคุณโตนดนะคะขออนุญาตบันทึกเสียงสนทนาเพื่อปรับปรุงการบริการนะคะพอดีว่าไทยพาณิชย์น่ะค่ะเขาจะทำแคมเปญพิเศษร่วมกับบริษัท fwd ค่ะซึ่งอยู่ในรูปแบบของออมทรัพย์พิเศษตัวโครงการตอนนี้ค่ะเราจะเข้ามาดูแลคุ้มครองในส่วนของลูกร้ายแรงต่างๆเพิ่มเติมให้ไปในตัวค่ะคุณลูกค้าอารมณ์เหมือนสั่งประจำค่ะไม่เป็นอะไรก็คือรับเงินก้อนกลับคืนไปทุกวันทุกสตางค์เลยอย่างปัจจุบันแล้วคุณลูกค้ามีการเก็บออมในรูปแบบไหนบ้างไหมคะ,"Yes, thank you. Please allow me to introduce myself a little. The officer's name is Jirada Khun Tond. I would like to ask for permission to record the conversation to improve the service. It is Siam Commercial Bank. They will be doing a special campaign together with the company FWD, which is in This is a form of special savings for the project right now. We will come in to take care of and provide additional protection for children in various serious situations. Customers feel like ordering regularly. No matter what, they will receive a lump sum money back every day for every satang. At present, do customers have any form of savings?"
110.700,113.200,ณปัจจุบันประกอบอาชีพอะไรอยู่มั้ยคะคุณลูกค้า,What is your current occupation?
114.400,115.300,เป็นพนักงาน,Be an employee
116.500,118.300,เป็นพนักงานบริษัทอะไรแบบนี้ใช่ไหมคะ,Are you an employee of a company like this?
119.200,134.900,ซึ่งในส่วนของโครงการนะคะตัวเนี้ยที่เขามาดูแลเพิ่มเติมให้นะคะคุณลูกค้าก็จะเป็นเกี่ยวกับประเด็นค่ะโรคหัวใจตับใต้สมองปอดที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเรารวมไปถึงพิการทุกบทภาพค่ะคุณลูกค้าอย่างปัจจุบันแล้วมีประกันตัวไหนดูแลสุขภาพอยู่แล้วบ้างไหมคะ,"As for the project, this one that he has come to take care of additionally for the customer will be about the issue of heart disease, liver, pituitary, lungs related to important organs in our body, including all types of disabilities. As a customer, do you currently have any health care insurance?"
142.600,145.200,ก็คือเป็นทำกับธนาคารแบบนี้ใช่ไหมคะ,"That is, doing it with the bank like this, right?"
145.600,205.500,เป็นประกันสุขภาพโดยตรงเลยไหมคะคุณลูกค้าแต่ว่าเป็นประกันชีวิตอย่างเดียวเป็นสุขภาพน้องซึ่งอย่างปัจจุบันคุณลูกค้าก็จะพอทราบกันดีอยู่แล้วเนาะนะคะว่าในส่วนของลูกร้ายแรงต่างๆที่จะละลายแรมแจ้งไปอย่างเช่นนะคะพบโรคมะเร็งโรคหัวใจตับไตสมองปอดที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเราตรงนี้ค่ะอย่างมะเร็งเนาะตัวนี้มันก็จะเป็นภัยเงียบอะไรแบบนี้ค่ะซึ่งถ้าหากว่าเราทำประกันสุขภาพประกันมะเร็งหรือประกันโรคร้ายแรงส่วนใหญ่มันก็จะเป็นเบี้ยทิ้งเบี้ยเสียนะคะแต่ละปีอันนี้คุณลูกค้าพอทราบกันอยู่แล้วใช่ไหมคะแต่ตัวโครงการตัวนี้ค่ะที่จะตามมาเรียนแจ้งเนาะคุณลูกค้าอารมณ์เหมือนเราฝากประจำเลยค่ะคุณลูกค้าไม่ได้เป็นอะไรจบสัญญาก็คือรับเงินก้อนรวมๆตรงกับรายกลับคืนไปเลยหรือตรวจพบเจอในระหว่างสัญญาค่ะคุณลูกค้ารับเงินก้อนไปดูแลรักษาตัวเองได้เลยไม่ทับซ้อนกับประกันสุขภาพสมมติค่ะสมมุติว่าจะพาอ้อมกับโครงการตอนนี้ได้สัก 4-5 เดือนบังเอิญค่ะไปตรวจสุขภาพประจำปีตรวจเต้ยอย่างเช่นมะเร็งยุคตามกล้ามเนื้อหัวใจ,"Is it direct health insurance, sir? But it is only life insurance, it is for the health of the younger sibling. As of now, you, the customer, already know well that in the case of various serious illnesses that will be dissolved, please notify us for example. Cancer, heart disease, liver, kidney, brain, lungs that are related to important organs in our body are found here. Like this cancer, it will be a silent danger like this. If we take out health insurance, cancer insurance or critical illness insurance. If it's big, it will be a waste of premiums each year. You, the customer, already know this, right? But this project that I will come to learn and inform you of, the customer is in the same mood as us. We have regular deposits, customers. It's not a problem. At the end of the contract, it means receiving a sum of money that matches the income back. Or it was discovered during the contract. The customer receives the lump sum to take care of themselves. It doesn't overlap with health insurance. Let's assume that I'm going to take Aom with the project now for about 4-5 months. Coincidentally, I'm going for an annual health check to check for things like cancer in the heart muscle."
