Start time,End time,thai_transcript,translation
54.4,57.8,ฮัลโหล ค่ะ สวัสดี ค่ะ ขออนุญาต สาย คุณ นฤมล ค่ะ,Hello. Hi. May I speak to Narumon?
59.2,67.4,ค่ะ บริษัทในเครือธนาคารไทยพาณิชย์ค่ะ มาเรียนแจ้งแคมเปญพิเศษให้ รบกวนเวลาสักครู่ คุณสายได้นะคะ,"Hello, this is a company affiliated with Siam Commercial Bank. I'm calling to inform you about a special campaign. Could I please take a moment of your time?"
71.2,71.9,ฮัลโหล ค่ะ,Hello
73.4,107.6,ได้ค่ะ ขอบพระคุณค่ะ ขออนุญาตแนะนำตัวนิดนึงนะคะ เจ้าหน้าที่ชื่อจิรดา คุณโตนดนะคะ ขออนุญาตบันทึกเสียงสนทนาเพื่อปรับปรุงการบริการนะคะ พอดีว่าไทยพาณิชย์น่ะค่ะ เขาจะทำแคมเปญพิเศษร่วมกับบริษัท FWD ค่ะ ซึ่งอยู่ในรูปแบบของออมทรัพย์พิเศษ ตัวโครงการตอนนี้ค่ะ เราจะเข้ามาดูแลคุ้มครองในส่วนของลูกค้ายากรต่างๆเพิ่มเติมให้ไปในตัวค่ะ คุณลูกค้าอารมณ์เหมือนฝากประจำค่ะ ไม่เป็นอะไร ก็คือรับเงินก้อนกลับคืนไปทุกๆสตางค์เลย อย่างปัจจุบันแล้ว คุณลูกค้ามีการเก็บออมในรูปแบบไหนบ้างไหมคะ,"Yes, thank you. Let me introduce myself briefly. My name is Jirada, nice to meet you. May I record this conversation to improve our service? Currently, Siam Commercial Bank is running a special campaign in collaboration with FWD company. It's in the form of a special savings account. With this program, we will provide additional coverage for various difficult customers. It's like a fixed deposit, no problem at all, you'll get all your money back in full. At present, do you have any form of savings?"
110.7,113.2,ณ ปัจจุบัน ประกอบอาชีพอะไรอยู่มั้ยคะ คุณลูกค้า,"Are you currently employed, customer?"
114.4,115.3,เป็น พนักงาน,Am an employee
116.5,118.3,เป็นพนักงานบริษัท อะไรแบบนี้ ใช่ไหมคะ?,Is this what it's like being a company employee?
119.2,134.9,ซึ่งในส่วนของโครงการนะคะ ตัวเนี้ยที่เขามาดูแลเพิ่มเติมให้นะคะ คุณลูกค้าก็จะเป็นเกี่ยวกับประเด็นค่ะ โรคหัวใจ ตับ ใต้สมอง ปอด ที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเรา รวมไปถึงพิการทุกสภาพค่ะ คุณลูกค้าอย่างปัจจุบันแล้วมีประกันตัวไหนดูแลสุขภาพอยู่แล้วบ้างไหมคะ,"As for the project, the additional coverage provided for the customer will be related to issues such as heart disease, liver, brain, lungs, which are important organs in our body, including all types of disabilities. Currently, do you have any insurance that takes care of your health?"
142.6,145.2,ก็คือเป็นการทำกับธนาคารแบบนี้ใช่ไหมคะ,"So it's like doing this with the bank, right?"
145.6,205.5,เป็นประกันสุขภาพโดยตรงเลยไหมคะคุณลูกค้า แต่ว่าเป็นประกันชีวิตอย่างเดียว เป็นสุขภาพน้องซึ่งอย่างปัจจุบัน คุณลูกค้าก็จะพอทราบกันดีอยู่แล้วเนาะนะคะ ว่าในส่วนของลูกร้ายแรงต่างๆที่จะละลายแรมแจ้งไปอย่างเช่นนะคะ พบโรคมะเร็ง โรคหัวใจ ตับไต สมอง ปอด ที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเราตรงนี้ค่ะ อย่างมะเร็งเนาะตัวนี้มันก็จะเป็นภัยเงียบอะไรแบบนี้ค่ะ ซึ่งถ้าหากว่าเราทำประกันสุขภาพประกันมะเร็งหรือประกันโรคร้ายแรง ส่วนใหญ่มันก็จะเป็นเบี้ยทิ้งเบี้ยเสียนะคะแต่ละปี อันนี้คุณลูกค้าพอทราบกันอยู่แล้วใช่ไหมคะ แต่ตัวโครงการตัวนี้ค่ะที่จะตามมาเรียนแจ้งเนาะคุณลูกค้า อารมณ์เหมือนเราฝากประจำเลยค่ะ คุณลูกค้าไม่ได้เป็นอะไรจบสัญญาก็คือรับเงินก้อนรวมๆตรงกับรายกลับคืนไปเลย หรือตรวจพบเจอในระหว่างสัญญาค่ะ คุณลูกค้ารับเงินก้อนไปดูแลรักษาตัวเองได้เลย ไม่ทับซ้อนกับประกันสุขภาพสมมติค่ะ สมมุติว่าจะพาอ้อมกับโครงการตอนนี้ได้สัก 4-5 เดือน บังเอิญค่ะไปตรวจสุขภาพประจำปีตรวจเต้ยอย่างเช่นมะเร็งยุคตามกล้ามเนื้อหัวใจ,
205.6,265.0,"จากการคัดเลือกไตวายเรื้อรัง โรคหลอดเลือดสมองแตก โลตัสค่ะ รวมไปถึงพิการทุกคุณภาพนะคะ ตัวนี้นะคะรับเงินก้อนเข้ากระเป๋าเลยค่ะทันที ตามทุนประกันถ้าสมมุติว่าทำ 5 แสนบาท ก็คือรับไป 500,000 บาท ค่ะปิดจบสัญญาไปได้เลยนะคะ ซึ่งตัวโครงการของเราตัวนี้ค่ะ คุณลูกค้าเขามีข้อพิเศษก็คือเขาคุ้มครองมะเร็งค่ะให้คุณลูกค้าตั้งแต่ระยะเริ่มต้นทุกชนิดทุกส่วนของร่างกาย อย่างผู้หญิงเราเนาะมะเร็งปากมดลูก มะเร็งเต้านมแบบนี้ค่ะ คุณลูกค้าเราเจอระยะเริ่มต้นค่ะ เรามีเงินก้อนไล่ให้ก่อนเสมือนเป็นค่าตกใจค่ะอยู่ที่ 125,000 บาท หรือ 125% ของทุนแอปตัวนี้ไปแล้วค่ะ คุณลูกค้าไม่ต้องออกต่อหยุดออมทันทีนะคะ ที่เหลือทางโครงการจะแบ่งเบาภาระต่อให้และยังคงคุ้มครองต่อ ซึ่งหมายความว่าถ้าภายหลังเกิดลูกกล้าม หรือเป็นอะไรค่ะอีก 3 แสนที่เหลือมาเบิกไปได้ หรือไม่ได้เป็นอะไรเลยอยู่จบสัญญาค่ะ อีก 3 แสนตรงนี้ก็มาเอากลับคืนไปได้ อันนี้ฟังทันเนาะค่ะ ค่ะแต่ที่สำคัญหากโครงการตัวเนี้ยค่ะแล้วคุ้มครองกรณีเสียชีวิตให้กับคุณลูกค้าทุกกรณีค่ะ","From the selection of chronic kidney failure, cerebral hemorrhage"
265.6,271.7,"ไม่ว่าจะเป็นอุบัติเหตุ โรคร้ายแรง โรคภัยไข้เจ็บทั่วไป ภัยธรรมชาติ ก็คือเราคุ้มครองให้ 500,000 บาทเช่นเดียวกันค่ะ","Whether it is an accident, serious illness, general illness, or natural disaster, we provide coverage of 500,000 baht all the same."
273.3,332.9,"แล้วตัวนี้ค่ะคุณลูกค้า สามารถเลือกเก็บออมได้ จะออม 5 ปี 10 ปี 20 ปี ค่ะ สูงสุดไม่เป็นอะไรค่ะ อยู่จบสัญญาก็คือรับเงินกลับเลยค่ะ 500,000 บาท รวมผลประโยชน์กลับคืนไปนะคะ ซึ่งโครงการตัวนี้ค่ะ คุณลูกค้าเรามีความคุ้มครองให้คุณลูกค้ายาว ๆ เลยถึง 90 ปีนะคะ เหมือนทำตัวเดียวค่ะคุณลูกค้า แต่ว่ามีความคุ้มครองไปเรื่อย ๆ นะคะ เหมือนเราเก็บออมให้กับตัวเองค่ะ ไม่เป็นอะไรคุณลูกค้าก็รับเงินก้อนคืนกลับไป และอีกอย่างโครงการของเราค่ะคุณลูกค้า ตัวนี้ไม่มีการปรับเพิ่มนะคะ เรทการออมนะคะ จะเป็นเรทคงที่ไปเรื่อย ๆ จนจบสัญญา สมมุติคุณลูกค้าอ้อมปรับโครงการตัวนี้ 20 ปีค่ะ อย่างปัจจุบันอายุ 34 ปี ถูกต้องไหมคะ ค่ะ โดยการออมค่ะ ถ้าเป็นทุน 500,000 บาทเนาะ คุณลูกค้าตกอยู่ที่เดือนละ 1,000 บาท 485 บาทเท่านั้นเองค่ะคุณลูกค้า อันนี้คือไม่มีการปรับเพิ่มแล้วนะ ถ้าอย่างประกันตัวอื่นเนาะ ก็คือเขาจะปรับเพิ่มตามช่วงอายุ ยิ่งอายุเยอะความเสี่ยงเยอะแบบเนี้ยค่ะคุณลูกค้า เขาก็จะมีการปรับเพิ่ม","For this product, customers can choose to save for 5 years, 10 years, or 20 years maximum. At the end of the contract, you will receive the money back immediately - 500,"
333.3,366.4,"แต่ตอนนี้ก็คือไม่มีการปรับเพิ่มแล้วนะคะ เป็นเบี้ยคงที่ สมมุติว่าคุณลูกค้าออมกับโครงการตัวนี้ 20 ปี คุณลูกค้าออมอยู่ที่ 350,000 บาท แต่ถ้าไม่เป็นอะไรก็คือรับกลับ 5 แสนค่ะ คุณลูกค้าตัวนี้เหมือนเราเก็บออมไว้ปกตินะคะ แล้วได้ผลกำไรตอบแทนไปในตัว หรือไม่เป็นอะไรก็รับเป็นก้อนกลับคืนไป หรือตัวผู้ตรวจเจอค่ะ คุณลูกค้าก็รับเป็นก้อนไปดูแลรักษาตัวเองได้เลย แบบนี้ค่ะตัวนี้ก็ไม่เกิน 10 วันทำการ เรามีลูกเล่นกรมธรรม์นะคะ จะส่งให้กับคุณลูกค้าได้ตรวจสอบผลประโยชน์อีกครั้งนึงค่ะ วันนี้เจอกันเลยอยากเรียนเชิญเก็บออมไปด้วยกันค่ะ คุณลูกค้าถ้าเป็นเรทประมาณนี้พอได้ไหมคะ","But now, there is no more adjustment, it's a fixed premium. Suppose the customer saves with this project for 20 years, the customer saves 350,000 baht. But if nothing happens, they will receive back 500,000 baht. This customer is like we normally save and get profit in return. Or if nothing happens, receive it back in a lump sum. Or if the inspector finds out, the customer can take the lump sum to take care of themselves right away. Like this, it will not exceed 10 working days. We have the policy playfully, will send it to the customer to check the benefits again. Today, let's meet and I want to invite you to save together. Customer, if the rate is around this, is it enough?"
371.4,388.5,"อันนี้คือเราเลือกแบบว่าจะเอากี่ปีใช่ไหมคะ ใช่ค่ะ คุณลูกค้า มันถ้าสมมุติว่าในส่วนของ 20 ปีเนาะ คุณลูกค้า ทุน 500,000 บาท มันจะตกอยู่ที่เดือนละ 1,485 บาทเท่านั้น สมมุติว่าคุณลูกค้าจะเอา 5 ปีเนาะนะคะ มันอ่า ทุน 500,000 บาทเหมือนกัน แต่ว่าเรทการออมมันก็จะสูงกว่า","This is where we choose how many years we want, right? Yes, ma'am. If we assume 20 years, with a capital of 500,000 baht, it will only cost 1,485 baht per month. If the customer wants 5 years, the capital is still 500,000 baht, but the savings rate will be higher."
390.5,420.8,แต่ว่าโครงการตัวเนี้ย ถ้าหากว่าในระหว่างทางจำเป็นนะคะ ก็ต้องใช้ตังค์แบบนี้ สมมุติว่าอันนี้แหละทำได้หลัง 2 ปี 1 วันเป็นต้นไปนะคะ สมมุติว่าออมมาได้สัก 5 ปีเนาะ จำเป็นต้องการใช้เงินแบบเนี้ยค่ะ คุณลูกค้าค่ะ อ่ะทำได้ 2 กรณี 1. เว้นขึ้นเงินสดปิดจบโครงการ อันนี้คือไม่แนะนำเนาะ เพราะว่าอ่าสัญญาก็จะจบไป คุณลูกค้าก็จะไม่มีความคุ้มครองต่อ และอีกอย่างคุณลูกค้าก็จะได้เงินตามท้ายตารางกรมธรรม์นะปีนั้นๆ ด้วยนะคะคุณลูกค้า,"But for this project, if during the course it becomes necessary, you have to use money like this. Suppose this can be done after 2 years and 1 day onwards. Let's say you've saved for about 5 years, and you need to use money like this. Dear customer, there are 2 cases you can do. 1. Withdraw the cash and close the project. This is not recommended because the contract will end. You will no longer have coverage. And another thing, you will get money according to the policy schedule for that year as well, dear customer."
422.1,453.5,ใช่แต่ว่าจะน้อยกว่าที่คุณลูกค้าจะออมเข้ามานะคะและกรณีที่ 2 ก็คือจะเป็นการกู้กรมธรรม์ของตัวเองตัวนี้คือจะได้ 80-90% นะปีนั้นๆเลยนะคะแต่ว่าจะมีดอกเบี้ย 5-8% ต่อปีเท่านั้นค่ะคุณลูกค้าซึ่งน้อยจะกว่าที่เราไปกู้นะคะธนาคารหรือว่ากู้บัตรเครดิตดีนะคะแต่ตัวนี้ก็คือความคุ้มครองยังมีการต่อเนื่องให้เรื่อยๆไม่ได้หมดไปใช่ซึ่งตัวนี้มันเป็นเงินเก็บเงินออมให้กับเราค่ะคุณลูกค้า,
455.1,460.9,"วันนี้เลยอยากเรียนเชิญเก็บออมไปด้วยกันค่ะ คุณลูกค้าถ้าเป็นเรทประมาณนี้ 1,485 บาท อันนี้พอไหวอยู่เนาะ","Today, I would like to invite you to save together. If the rate is around 1,485 baht, this should be manageable, right?"
469.3,477.0,"85 บาท ใช่ค่ะ อันนี้คือทุน 500,000 อันนี้ไหวไหม หรือว่าน้อยไปไหม ถ้าเป็นตัวนี้ 20 ปี ค่ะ คุณลูกค้า","85 baht, right? This is a fund of 500,000. Is this okay or is it too little? If it's this one, it's 20 years. Yes, customer."
477.9,488.5,ส่งพยาบาลสบาย ๆ เรื่อย ๆ ค่ะคุณลูกค้า อย่างน้อยค่ะคุณลูกค้าอายุ 56 เนาะ เราก็ยังมีความคุ้มครองดีกว่าเรามาทำตอนที่เราอายุเยอะแล้ว แล้วอีกอย่างเบี้ยประกันมันแพงมากแบบเนี้ยค่ะ,"Send the nurse comfortably. At least, you are 56 years old. We still have better coverage than doing it when we are older. And another thing, the insurance premium is very expensive like this."
